Wall time,Step,Value
1706303055.3432398,1924,1.3346621222089043e-18
1706303055.5546541,1925,9.550090719114864e-19
1706303056.8506508,1931,9.065407341116714e-19
1706303057.7168765,1935,9.453350912501021e-19
1706303057.9284015,1936,1.0310125979419665e-18
1706303058.1422105,1937,1.2459694387867076e-18
1706303058.5719783,1939,1.1445071546582235e-18
1706303058.7884624,1940,1.2091217478223438e-18
1706303059.8617184,1945,1.3423410466303872e-18
1706303060.4984903,1948,1.0612961971554157e-18
1706303060.9297273,1950,1.2630925944544381e-18
1706303061.5851429,1953,9.063280452966687e-19
1706303062.215384,1956,1.268912223654055e-18
1706303062.8454106,1959,1.6822919090670975e-18
1706303063.2606936,1961,1.6348398660473805e-18
1706303064.5307276,1967,1.3449453213914338e-18
1706303064.7450233,1968,1.2252093767607345e-18
1706303065.1694932,1970,1.6525808222351115e-18
1706303065.6038074,1972,1.3754018013529066e-18
1706303067.5072384,1981,1.4417879051963858e-18
1706303067.7281268,1982,1.6910528891273763e-18
1706303067.9398093,1983,1.7188827604512635e-18
1706303068.1542842,1984,3.1752250119230964e-18
1706303071.078193,1998,1.1077277060943954e-18
1706303071.9347737,2002,1.2750779245424486e-18
1706303072.7747579,2006,1.4432985437900608e-18
1706303072.9835196,2007,1.4536129690407142e-18
1706303073.6124027,2010,1.5243816825646525e-18
1706303073.8286734,2011,5.501167145325748e-18
1706303074.4857533,2014,9.812960239182937e-18
1706303074.9095774,2016,1.6583959019413593e-18
1706303075.334037,2018,1.765719587890394e-18
1706303076.391854,2023,1.5986553671391311e-18
1706303077.0376546,2026,1.5923788240486553e-18
1706303077.4744291,2028,2.008018987280652e-18
1706303077.6893597,2029,1.4578184586725104e-18
1706303078.107547,2031,1.4669452593586908e-18
1706303078.7557106,2034,2.3104728219721445e-18
1706303079.3974948,2037,3.1227054536757264e-18
1706303079.8141603,2039,1.5218691214540227e-18
1706303080.4533947,2042,1.5904080662392477e-18
1706303081.0722587,2045,1.8603366422572722e-18
1706303081.2738013,2046,1.8603612508804957e-18
1706303081.9000154,2049,1.7147958678397921e-18
1706303082.5296261,2052,1.8450569619821927e-18
1706303084.19883,2060,1.1348771179668812e-18
1706303084.4068747,2061,1.2681146147484007e-18
1706303084.8272202,2063,1.270923409915901e-18
1706303085.8706095,2068,1.1067070686160815e-18
1706303086.8976107,2073,1.1725719452760758e-18
1706303087.105515,2074,1.2436886950427457e-18
1706303087.3122005,2075,1.2143320551032388e-18
1706303087.7248545,2077,1.2634392865286744e-18
1706303087.9310987,2078,1.0661081135737898e-18
1706303088.3322344,2080,1.0778556292356913e-18
1706303088.7444596,2082,1.3094590663177558e-18
1706303089.3603566,2085,8.837831343039594e-19
1706303089.565682,2086,1.096459644995045e-18
1706303090.3887403,2090,1.1794588442610391e-18
1706303091.405567,2095,3.618950748685836e-18
1706303091.8154452,2097,8.796943805361098e-19
1706303093.0601242,2103,1.2129366014098618e-18
1706303093.2644358,2104,1.2171731103146287e-18
1706303093.4666197,2105,1.3022129641517913e-18
1706303093.6727717,2106,1.3671044560259638e-18
1706303093.8745708,2107,1.1839630494915435e-18
1706303094.4928868,2110,8.970576253766338e-19
1706303094.918851,2112,1.1288102651616875e-18
1706303095.5335073,2115,1.1580730201016697e-18
1706303095.7427573,2116,1.3320079064183748e-18
1706303096.3575191,2119,9.299323678589054e-19
1706303096.768543,2121,1.0041782384852869e-18
1706303097.1890488,2123,9.436697698818798e-19
1706303097.3977726,2124,1.1292520830063674e-18
1706303097.6043835,2125,8.83309263210543e-19
1706303098.4363215,2129,8.652625086901088e-19
1706303099.2793906,2133,9.726554193166567e-19
1706303099.4864573,2134,1.0620955638198716e-18
1706303099.6938806,2135,1.4432194032849548e-17
1706303100.5204961,2139,7.994826765368427e-19
1706303100.730606,2140,8.236033665964655e-19
1706303101.1517475,2142,1.2119971310291547e-18
1706303101.3529055,2143,1.1626461915157457e-18
1706303101.7679477,2145,9.611303118419553e-19
1706303101.9721267,2146,1.160951918826084e-18
1706303102.175352,2147,9.04270433522943e-19
1706303102.5862913,2149,1.0483139076341256e-18
1706303102.7905207,2150,2.5028489762626833e-18
1706303103.2093737,2152,1.276791946169235e-18
1706303103.835945,2155,1.096912939970724e-18
1706303104.260278,2157,1.826982858802756e-18
1706303104.478595,2158,1.393950912999102e-18
1706303105.733205,2164,1.2176495663474593e-18
1706303105.9461882,2165,1.4351091455330561e-18
1706303106.1485257,2166,1.4351294114580637e-18
1706303106.9690058,2170,1.49934540696451e-18
1706303107.38302,2172,1.5784500331114514e-18
1706303107.7966306,2174,2.0051972674160806e-18
1706303108.6260736,2178,2.335969837173479e-18
1706303110.0860755,2185,2.588745479021721e-18
1706303110.7107553,2188,1.0910682885575774e-18
1706303111.124563,2190,1.204777498642792e-18
1706303111.546331,2192,1.1937450806204425e-18
1706303111.7507122,2193,1.2451322286092274e-18
1706303112.5769346,2197,1.2828769969479048e-18
1706303112.9961183,2199,2.518782749607139e-18
1706303113.1970778,2200,1.239716366946113e-18
1706303113.4024076,2201,1.5874210136497422e-18
1706303114.030786,2204,1.6748228817260499e-18
1706303114.2418888,2205,1.6747906216821603e-18
1706303114.860805,2208,1.8272130218081988e-18
1706303115.067619,2209,1.5783398112948288e-18
1706303115.696245,2212,2.1361900028102843e-18
1706303116.3197656,2215,1.712599186325581e-18
1706303117.143969,2219,1.7006443585226583e-18
1706303118.3746274,2225,1.6552331768692628e-18
1706303118.5797563,2226,1.781779092687958e-18
1706303119.202675,2229,1.3387529439282853e-18
1706303119.414805,2230,1.531685377180766e-18
1706303119.8368862,2232,1.1500171081160158e-18
1706303120.2587876,2234,9.674945360773618e-19
1706303120.4719615,2235,1.653379361718955e-18
1706303120.8965714,2237,1.179061487374284e-18
1706303121.1066236,2238,1.7807256781778718e-18
1706303121.5217586,2240,3.0221773666515444e-18
1706303121.729202,2241,1.1373326036152448e-18
1706303121.94221,2242,1.1209256829604087e-18
1706303122.1489856,2243,9.149831462385408e-19
1706303122.5552335,2245,1.213407370575981e-18
1706303122.9845679,2247,1.2752953696459735e-18
1706303123.187673,2248,9.646470702162245e-19
1706303124.0379508,2252,1.2160959143619316e-18
1706303124.2422302,2253,9.817721904379099e-19
1706303124.6614301,2255,1.2084912294004253e-18
1706303125.2917306,2258,9.452702609695933e-19
1706303125.717223,2260,1.1308978622326182e-18
1706303126.3426886,2263,1.1976678812778986e-18
1706303128.8456523,2275,1.683181128225592e-18
1706303129.6814995,2279,1.7460260718667317e-18
1706303130.310646,2282,1.9231798281396103e-18
1706303131.3625534,2287,1.752374476272923e-18
1706303131.7837603,2289,1.85895731858584e-18
1706303132.408278,2292,1.4153741670811894e-18
1706303133.6504495,2298,1.4274331162437172e-18
1706303133.8491848,2299,1.3989419140200938e-18
1706303134.261303,2301,1.914762851816577e-18
1706303134.8926938,2304,1.5686504243945357e-18
1706303135.529705,2307,1.5113446957253574e-18
1706303135.7470365,2308,1.2193833369113704e-18
1706303135.9563634,2309,1.2193900577538474e-18
1706303137.8280697,2318,1.5302804109103447e-18
1706303138.034036,2319,1.507371540448112e-18
1706303138.235951,2320,1.3466786783650387e-18
1706303138.4418786,2321,2.5845144501885124e-18
1706303138.8570123,2323,1.5390205046601566e-18
1706303139.2852883,2325,1.4803027786853502e-18
1706303139.9101684,2328,1.2323486692301032e-18
1706303140.9636033,2333,1.2818176887759541e-18
1706303141.3692307,2335,1.5227918414273256e-18
1706303141.5806725,2336,9.333920507709084e-19
1706303141.7828622,2337,1.6189857088368829e-18
1706303141.9925673,2338,1.9135092595982528e-18
1706303143.6509984,2346,1.4148782723039639e-18
1706303145.5162108,2355,1.7480313644667133e-18
1706303146.5470655,2360,1.6218798070050528e-18
1706303148.1785276,2368,1.3751798067560127e-18
1706303148.3883343,2369,1.3751633665413382e-18
1706303149.025814,2372,1.301875888052176e-18
1706303149.8566203,2376,1.2834154915266769e-18
1706303150.4819503,2379,1.2844576357009171e-18
1706303151.322944,2383,1.062016981661679e-18
1706303151.9624188,2386,1.450742445520002e-18
1706303152.5741773,2389,1.144538690919077e-18
1706303152.7821414,2390,1.1694276249726086e-18
1706303152.9815798,2391,1.2183185486678615e-18
1706303153.3920262,2393,1.219622702301128e-18
1706303155.0556488,2401,1.4553371236300044e-18
1706303155.4653819,2403,1.162334861412696e-18
1706303155.8938665,2405,1.4268892449909635e-18
1706303156.307312,2407,9.40576941571544e-19
